strategy,learning_rate,batch_size,eval_loss,eval_accuracy,eval_f1,eval_precision,eval_recall,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
Adasyn,2e-05,8,0.7690753043,0.6315982298,0.621918677,0.637550212,0.6300315161,162.3867,41.472,2.593,2.0
Adasyn,5e-05,8,0.7563465238,0.6338995301,0.6266355955,0.6395009173,0.6322739726,162.8281,41.36,2.5855,2.0
Adasyn,2e-05,8,0.7679487169,0.6278857812,0.6134426403,0.6372142712,0.626680726,162.702,41.3915,2.5875,2.0
Adasyn,5e-05,8,0.7558260262,0.6318949876,0.621685124,0.6384546781,0.6305643765,161.77175,41.63,2.6025,2.0
SMOTEENN,2e-05,8,0.1469836384,0.9594720771,0.9590549203,0.9638650946,0.9559537787,39.6801,41.9765,2.6465,2.0
SMOTEENN,5e-05,8,0.1051231176,0.9768831857,0.9765995829,0.9793016035,0.9745747211,39.83635,41.809,2.6355,2.0
SMOTEENN,2e-05,8,0.1376367807,0.9609843938,0.9597145903,0.9631779972,0.9572526231,40.3349,41.304,2.603,2.0
SMOTEENN,5e-05,8,0.0771629252,0.9846938776,0.9835592779,0.9839134088,0.9833229606,40.399,41.2385,2.599,2.0
Undersampling,2e-05,8,0.9770945907,0.5111190818,0.4967098102,0.5076603869,0.511141692,50.29815,41.583,2.6045,2.0
Undersampling,5e-05,8,0.9734220803,0.52115858,0.509462069,0.5264166572,0.5211939832,47.04655,44.625,2.7955,2.0
Undersampling,2e-05,8,0.9862309098,0.4971319312,0.4851176347,0.490421765,0.4971189119,46.68025,44.8245,2.807,2.0
Undersampling,5e-05,8,0.9771744311,0.5038240918,0.4963460779,0.5054142917,0.5037889221,49.914,41.914,2.6245,2.0
percentage_split,2e-05,8,0.8541032672,0.6079654511,0.460413865,0.5562953256,0.4775700477,49.8399,41.814,2.628,2.0
percentage_split,5e-05,8,0.8526236415,0.6070057582,0.4471198977,0.5300864015,0.4718189766,49.5385,42.068,2.644,2.0
SMOTE,2e-05,8,0.7439244092,0.6471235349,0.6370869743,0.6631661081,0.6471051962,160.5673,42.49,2.6595,2.0
SMOTE,5e-05,8,0.7323249578,0.6476363231,0.6406709794,0.6585827295,0.6476203363,164.73975,41.415,2.5925,2.0
SMOTE,2e-05,8,0.7448970079,0.648248571,0.6405144394,0.6592287495,0.6482638587,162.8166,41.91,2.623,2.0
SMOTE,5e-05,8,0.7325019836,0.6533049978,0.6488485555,0.6621185478,0.6533162264,164.8088,41.3995,2.591,2.0
Oversampling,2e-05,8,0.9376270175,0.5318434213,0.5230911661,0.5348768574,0.5318518626,163.07185,41.8395,2.6185,2.0
Oversampling,5e-05,8,0.9379101992,0.5325763657,0.5242062111,0.53491392,0.5325848177,165.29225,41.275,2.5835,2.0
Oversampling,2e-05,8,0.9309878051,0.5433826762,0.5333638187,0.5459830499,0.5433752791,162.4869,41.9975,2.6285,2.0
Oversampling,5e-05,8,0.9283324778,0.5467536274,0.5352959419,0.5548197689,0.5467414087,164.3036,41.527,2.5985,2.0
